,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
7353,24,17,13,13,21,10,10,10
7354,19,11,11,11,16,9,9,9
7355,51,19,16,16,42,11,11,11
7356,51,15,16,16,37,10,10,10
7357,56,34,31,31,47,15,15,15
7358,50,11,11,11,47,10,10,10
7359,44,10,9,9,38,9,9,9
7360,36,19,17,17,25,9,9,9
7361,70,10,10,10,58,10,10,10
7362,36,20,11,11,34,10,10,10
7363,32,11,9,9,24,11,9,9
7364,31,14,10,10,21,10,10,10
7365,56,30,16,16,44,10,9,9
7366,51,13,13,13,46,16,11,12
7367,28,21,21,21,27,10,10,10
7368,25,16,15,15,21,10,10,10
7369,24,14,10,10,19,9,9,9
7370,48,29,27,27,44,21,17,17
7371,27,24,21,21,26,17,14,13
7372,29,13,13,13,26,11,9,9
7373,24,18,18,18,23,12,12,12
7374,45,27,22,22,38,17,11,11
7375,30,16,16,16,28,13,11,11
7376,33,25,21,21,29,20,16,16
7377,33,25,24,24,27,19,19,18
7378,33,16,14,13,27,12,10,10
7379,20,16,15,15,19,12,12,12
7380,55,31,29,29,42,12,12,12
7381,64,19,17,13,56,16,10,9
7382,51,36,36,36,41,26,20,20
7383,70,41,38,38,61,17,17,17
7384,22,16,14,14,19,15,14,14
7385,29,22,21,21,28,10,10,10
7386,56,34,33,33,51,19,19,19
7387,55,13,13,13,38,10,10,10
7388,30,19,19,19,24,18,17,17
7389,55,37,31,31,54,16,15,15
7390,37,10,10,10,34,9,9,9
7391,29,22,22,22,26,16,15,15
7392,22,15,10,10,19,9,9,9
7393,60,9,9,9,45,9,9,9
7394,48,38,36,36,47,23,18,18
7395,31,17,16,16,24,14,14,14
7396,26,17,17,17,25,12,12,12
7397,30,12,10,10,21,10,10,10
7398,52,24,14,14,44,11,11,11
7399,40,16,10,10,39,10,10,10
7400,53,10,10,10,42,13,10,10
7401,25,16,16,16,23,11,11,11
7402,34,26,24,24,33,17,13,13
7403,39,22,21,21,31,15,13,13
7404,22,11,11,11,17,10,10,10
7405,53,35,32,32,50,16,14,14
7406,21,11,10,9,18,13,9,9
7407,50,10,10,10,48,10,10,10
7408,37,10,9,9,34,9,9,9
7409,31,21,19,18,23,14,12,12
7410,28,11,11,10,21,10,10,10
7411,63,43,41,41,62,22,15,15
7412,35,23,21,21,33,17,17,17
7413,38,21,16,16,35,13,14,13
7414,21,11,11,11,18,10,10,10
7415,22,14,14,14,19,11,11,11
7416,42,30,26,26,41,15,10,10
7417,34,23,22,22,29,13,13,13
7418,34,19,19,19,29,17,13,13
7419,40,15,14,13,37,9,9,9
7420,29,20,19,19,28,12,10,10
7421,64,33,32,32,56,17,17,16
7422,60,11,11,10,37,10,9,9
7423,35,23,23,22,26,14,14,14
7424,49,13,13,13,41,16,11,11
7425,43,29,26,26,34,18,18,18
7426,39,27,23,23,38,19,18,18
7427,60,41,41,41,49,22,21,21
7428,46,10,10,10,31,11,10,10
7429,27,13,11,10,24,9,9,9
7430,37,17,14,14,33,9,9,9
7431,50,25,20,20,41,16,16,16
7432,32,24,19,19,29,14,11,11
7433,31,18,18,18,30,13,12,12
7434,34,29,28,28,33,10,10,10
7435,42,26,22,22,41,12,12,12
7436,42,16,16,16,34,10,10,10
7437,40,20,20,20,35,12,11,11
7438,36,27,24,24,25,16,15,15
