      program_name  constant_write  var_write  read
577   program_8857              40         60    23
578   program_8304              34         11     4
579    program_803               5        174     5
580   program_1505               9          0     0
581   program_7188               0         25     3
582   program_1570              40          5     1
583   program_4868               0         82     5
584   program_9557              24          5     3
585   program_5158              15          4     1
586   program_1114               0        328     2
587   program_6147               6         31     4
588    program_717              24          3     1
589   program_6483              44          7     1
590   program_2416              33          0     0
591   program_3759              22          2     2
592    program_790               0         83     2
593   program_5049              27          0     0
594    program_972              46          3     1
595   program_3670               5         17     7
596   program_1588               0         43     2
597   program_4003              14          3     0
598   program_9585               0        131     2
599   program_7576              89         48    40
600   program_5691               6         27     6
601   program_4044              21         17    11
602   program_9174               9        291     8
603   program_7292               3          0     0
604   program_1413              42          9     7
605   program_8670              10         10     3
606   program_1496               1        165     3
607   program_2419               5        179     4
608    program_515              31         14     5
609   program_1292              19        310    21
610   program_5651               6          4     2
611   program_6579               6          0     0
612   program_3198               4          3     0
613   program_3903               9        239     7
614    program_935               1         93     4
615   program_8576               1        168     2
616   program_8354              29          6     2
617   program_7749              22        223    20
618   program_7111              27         11    29
619   program_7956               0        345     2
620   program_3953              33         39    22
621    program_278              31          4     1
622    program_191              13          2     5
623   program_6453               1         76     2
624   program_3696              24        884    18
625   program_5012               0        134     2
626   program_7597               0         23     2
627   program_8226               2        530     2
628   program_8463               0         54     2
629   program_1870              18          0     0
630   program_5379               1        146     6
631   program_7505              15          4     3
632   program_2607               0        212     2
633   program_6256              17          6    12
634   program_8647               1         91     2
635   program_9343              42        963    39
636   program_7993               4        260     9
637   program_7350               3         44     3
638   program_4869               7          0     0
639    program_361               0         21     3
640   program_1594              16        161    13
641   program_5737               7          2     0
642   program_1334              13          0     0
643   program_9329              47          0     0
644   program_9559               5        185     5
645   program_6731              44          2     1
646   program_7377               6         33    18
647   program_1450               0         22     3
648    program_676              24          0     0
649   program_2692               4        142     5
650   program_7200               4         52     7
651   program_6670              26          0     0
652   program_6209              22          6     0
653   program_8669               0         46     2
654   program_3473              21          1     0
655   program_2234               1         56     3
656   program_8000               2        113     5
657   program_6489              16          0     0
658   program_7164               0        137     7
659   program_7394               0         16     6
660   program_8332              30          0     0
661   program_7220               4        202    10
662   program_5881               0        328     2
663   program_3577               0         48     2
664   program_5560              52         29    12
665   program_7243               7          4     2
666   program_6267               4        407     9
667   program_5341               2        130     4
668   program_7900              46         82    27
669   program_4623               3          9    19
670   program_6397              29          4     1
671   program_5186              27          2     1
672   program_9640               0        108     2
673    program_662               6        313     6
674   program_1786               4         11     2
675   program_3871              29         42    24
676   program_7802               0        174     2
677   program_6440              31         33     9
678   program_2868               0         68     9
679    program_868               1        252     2
680    program_734              26         15     5
681   program_2822               0         25     4
682   program_2718               0         20     2
683   program_9448               7          3    16
684   program_5217              19          6     0
685    program_346               5        173     9
686   program_1855              13          1     1
687   program_7932              28          0     0
688   program_5710              31          0     0
689   program_9235               4          0     0
690   program_7753               0        225     3
691   program_1814               0         87     4
692   program_6962              36          6     3
693   program_5069               0         64     2
694   program_8997               8          2     0
695   program_7446              14          5     2
696   program_9956               0        159     2
697   program_2710              77         53    19
698   program_6509               1         39     5
699   program_6273              39          4     0
700   program_2277               8        145    26
701   program_9217              28         17    10
702   program_5798              18          2     1
703   program_1733               5          0     0
704   program_7222               5          0     0
705    program_689               2        110    22
706   program_4875               5         46     8
707   program_3097               0         76     2
708   program_2205               0         80     2
709   program_5083               4        337     5
710   program_6202              23          0     0
711   program_1904               3        111     4
712   program_2925               0         51     2
713   program_5115               9          6     8
714   program_8025               0         36     2
715   program_1571               4        125     4
716   program_9717              30         11     4
717   program_8676              43         17     8
718   program_5965               0         59     2
719    program_890               1        222     3
720   program_2228               0         21     4
721   program_3809              29         10     1
722   program_3603               7         85    11
723   program_4217              13         11     3
724   program_1488               8        188    14
725   program_7405               0         78     4
726   program_5431               2        460     3
727   program_2712               0         56     9
728   program_6694               0        133     2
729   program_3591               6         19    24
730   program_7536              47         33    18
731   program_4497              62          9     4
732   program_4097               0         87     2
733   program_2059               1         26     4
734   program_9741              29         13     1
735   program_6665               3          4     5
736   program_8214               6          2    56
737   program_9430              10        234     7
738   program_1951              20         42    12
739   program_5957              38          0     0
740   program_8351              11          8     3
741   program_8299               0        238     2
742   program_1679               1        645     6
743   program_7038               0        152     2
744   program_3660               4        486     8
745   program_6300              21          3     0
746   program_4463              13          0     0
747    program_946              12        127     6
748   program_4918              21          7    10
749   program_1350               2        113     6
750   program_7632               9          0     0
751   program_2284               2         85     4
752    program_264               0        228     2
753   program_2672               3          5     6
754   program_7107               0         91     2
755   program_2350               7        131     7
756    program_233              19          8     3
757    program_212              31         85    18
758   program_8171               3        113     4
759   program_2577              10          0     0
760   program_9855               1          9     2
761    program_335               5          2     3
762   program_9241              32          4     2
763   program_9510               7          0     0
764   program_1758               0         56     2
765   program_2415               0        323     2
766   program_1363               1         12     3
767    program_214               0        119     2
768   program_4687              23          0     0
769   program_7271               0        199     2
770   program_9237              20         14    14
771   program_6887               0        218     5
772   program_7836               0         91     2
773   program_9394              11         15    51
774   program_5986              18          0     0
775   program_7621               0         64     5
