,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
866,"{'nodes': 807, 'edges': 1224}","{'nodes': 15, 'edges': 20}","{'nodes': 13, 'edges': 16}","{'nodes': 13, 'edges': 16}","{'nodes': 818, 'edges': 1241}","{'nodes': 13, 'edges': 16}","{'nodes': 13, 'edges': 16}","{'nodes': 13, 'edges': 16}"
867,"{'nodes': 1611, 'edges': 2549}","{'nodes': 309, 'edges': 549}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1553, 'edges': 2455}","{'nodes': 41, 'edges': 56}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
868,"{'nodes': 1406, 'edges': 2200}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 1322, 'edges': 2068}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
869,"{'nodes': 731, 'edges': 1185}","{'nodes': 208, 'edges': 374}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 773, 'edges': 1251}","{'nodes': 18, 'edges': 23}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
870,"{'nodes': 2310, 'edges': 3552}","{'nodes': 133, 'edges': 223}","{'nodes': 16, 'edges': 19}","{'nodes': 16, 'edges': 19}","{'nodes': 2419, 'edges': 3771}","{'nodes': 16, 'edges': 19}","{'nodes': 16, 'edges': 19}","{'nodes': 16, 'edges': 19}"
871,"{'nodes': 19, 'edges': 25}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 19, 'edges': 25}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
872,"{'nodes': 2345, 'edges': 3655}","{'nodes': 138, 'edges': 242}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2558, 'edges': 4115}","{'nodes': 17, 'edges': 22}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
873,"{'nodes': 453, 'edges': 697}","{'nodes': 13, 'edges': 17}","{'nodes': 14, 'edges': 18}","{'nodes': 14, 'edges': 18}","{'nodes': 560, 'edges': 859}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
874,"{'nodes': 1997, 'edges': 3103}","{'nodes': 156, 'edges': 275}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2008, 'edges': 3126}","{'nodes': 17, 'edges': 22}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
875,"{'nodes': 1272, 'edges': 2054}","{'nodes': 23, 'edges': 36}","{'nodes': 6, 'edges': 5}","{'nodes': 9, 'edges': 10}","{'nodes': 1369, 'edges': 2166}","{'nodes': 22, 'edges': 34}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
